file_name,Molar_volume,HOMO,LUMO,HOMO_LUMO_Gap,Dipole_Moment,MaxAbsEStateIndex,MaxEStateIndex,MinAbsEStateIndex,MinEStateIndex,qed,SPS,MolWt,HeavyAtomMolWt,ExactMolWt,NumValenceElectrons,NumRadicalElectrons,MaxPartialCharge,MinPartialCharge,MaxAbsPartialCharge,MinAbsPartialCharge,FpDensityMorgan1,FpDensityMorgan2,FpDensityMorgan3,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_CHGHI,BCUT2D_CHGLO,BCUT2D_LOGPHI,BCUT2D_LOGPLOW,BCUT2D_MRHI,BCUT2D_MRLOW,AvgIpc,BalabanJ,BertzCT,Chi0,Chi0n,Chi0v,Chi1,Chi1n,Chi1v,Chi2n,Chi2v,Chi3n,Chi3v,Chi4n,Chi4v,HallKierAlpha,Ipc,Kappa1,Kappa2,Kappa3,LabuteASA,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA4,PEOE_VSA5,PEOE_VSA6,PEOE_VSA7,PEOE_VSA8,PEOE_VSA9,SMR_VSA1,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA5,SMR_VSA6,SMR_VSA7,SMR_VSA8,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA5,SlogP_VSA6,SlogP_VSA7,SlogP_VSA8,SlogP_VSA9,TPSA,EState_VSA1,EState_VSA10,EState_VSA11,EState_VSA2,EState_VSA3,EState_VSA4,EState_VSA5,EState_VSA6,EState_VSA7,EState_VSA8,EState_VSA9,VSA_EState1,VSA_EState10,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,VSA_EState8,VSA_EState9,FractionCSP3,HeavyAtomCount,NHOHCount,NOCount,NumAliphaticCarbocycles,NumAliphaticHeterocycles,NumAliphaticRings,NumAromaticCarbocycles,NumAromaticHeterocycles,NumAromaticRings,NumHAcceptors,NumHDonors,NumHeteroatoms,NumRotatableBonds,NumSaturatedCarbocycles,NumSaturatedHeterocycles,NumSaturatedRings,RingCount,MolLogP,MolMR,Ef
1,180.9991755,-0.224394857,0.002753081,0.227147938,1.317568656,5.360538549,5.360538549,0.740092593,0.740092593,0.624507447,9.444444444,121.183,110.095,121.0891494,48,0,-0.00366981,-0.330142607,0.330142607,0.00366981,1.111111111,1.777777778,2.333333333,14.51063872,10.15398534,1.841426564,-1.934332501,1.962974328,-2.013364123,5.140696654,0.968846845,1.910086009,2.61489994,157.4784208,6.527097737,5.378315178,5.378315178,4.431851653,3.172485284,3.172485284,2.024273694,2.024273694,1.275837364,1.275837364,0.811343905,0.811343905,-0.82,145.1665367,6.302249389,3.253988637,1.859038602,55.50117805,5.733667477,0,0,0,0,0,0,0,0,0,30.33183534,18.52902952,0,0,0,0,0,0,5.733667477,6.420821623,6.544756406,35.89528683,0,0,5.733667477,0,0,0,6.544756406,6.420821623,0,5.563451492,30.33183534,0,0,0,26.02,0,0,0,0,0,12.96557803,5.563451492,0,18.19910121,12.13273414,5.733667477,0,0,0,0,6.679982993,0,10.25964664,0.986944444,0.740092593,0,0.25,9,2,1,0,0,0,1,0,1,1,1,1,2,0,0,0,1,1.1878,39.2004,-2.220484774
2,213.8289051,-0.234651084,-0.063032461,0.171618623,2.959586409,13.24959562,13.24959562,0.049907407,-1.248452381,0.735057593,10.93333333,212.174,205.118,212.0561329,78,0,0.184711785,-0.325212854,0.325212854,0.184711785,1.133333333,1.866666667,2.533333333,19.16047509,10.14987507,2.129736029,-2.031100823,2.216012406,-2.013081237,5.79589443,0.503571255,2.25077688,2.848578993,525.5466947,10.99963552,7.597614872,7.597614872,7.130228955,4.263995858,4.263995858,3.057075348,3.057075348,2.090391954,2.090391954,1.338762924,1.338762924,-1.62,2853.985084,9.916984415,3.507436096,1.545296314,83.53415465,5.733667477,11.33392156,11.63444168,0,0,0,0,18.15522366,0,0,0,12.13273414,17.99734769,5.693927995,13.17124514,10.90292493,0,4.983978521,5.733667477,6.544756406,0,41.34469172,0,0,5.733667477,13.17124514,0,0,4.983978521,6.544756406,17.45166252,5.693927995,18.19910121,0,10.90292493,0,38.91,17.45166252,13.17124514,0,17.44768134,11.76029506,0,12.13273414,0,0,4.983978521,5.733667477,39.29327664,0,3.734907407,-0.049907407,5.351846183,-3.233015873,3.312106954,0,0.090786092,0,0.1,15,2,2,0,0,0,1,1,2,2,1,5,1,0,0,0,2,2.1108,49.5084,-1.945684058
3,221.2436233,-0.236425595,-0.059028723,0.177396872,3.373876055,13.20848639,13.20848639,0.049907407,-1.481668084,0.735057593,10.93333333,212.174,205.118,212.0561329,78,0,0.19466913,-0.325212869,0.325212869,0.19466913,1.133333333,1.866666667,2.533333333,19.1686683,10.1513209,2.134803891,-2.027390757,2.211942569,-2.007393338,5.790907682,0.453039498,2.250841983,2.799958018,525.5466947,10.99963552,7.597614872,7.597614872,7.130228955,4.263995858,4.263995858,3.059753567,3.059753567,2.09383566,2.09383566,1.332902674,1.332902674,-1.62,2863.071002,9.916984415,3.507436096,1.545296314,83.53415465,5.733667477,0,17.45166252,0,0,0,4.983978521,13.17124514,0,0,0,12.13273414,17.99734769,11.21062871,13.17124514,10.90292493,0,4.983978521,5.733667477,6.544756406,0,41.34469172,0,0,5.733667477,13.17124514,0,0,4.983978521,6.544756406,17.45166252,5.693927995,18.19910121,0,10.90292493,0,38.91,17.45166252,13.17124514,0,17.44768134,5.693927995,6.066367068,12.13273414,0,0,4.983978521,5.733667477,38.90804461,0,3.884814815,-0.049907407,5.880423123,-3.951350624,3.664726946,0,0.163248536,0,0.1,15,2,2,0,0,0,1,1,2,2,1,5,1,0,0,0,2,2.1108,49.5084,-1.967217875
4,215.4555286,-0.238979296,-0.015187435,0.223791861,4.040559231,12.17691232,12.17691232,0.362411187,-4.259316893,0.757873884,11.69230769,189.18,179.1,189.076534,72,0,0.415919484,-0.330142606,0.415919484,0.330142606,1.230769231,1.923076923,2.461538462,19.41316902,10.0854061,2.295986865,-2.071446249,2.28930499,-2.070863945,5.252547952,-0.137179069,2.038416335,2.918068424,280.4334576,9.897341225,6.934858327,6.934858327,6.037023368,3.900115596,3.900115596,2.736811952,2.736811952,1.687321703,1.687321703,1.069829984,1.069829984,-1.03,680.8310558,10.05354219,3.786459008,2.733350715,74.36272637,5.733667477,0,0,0,0,6.176298517,0,0,13.17124514,0,18.19910121,24.59539659,0,5.563451492,13.17124514,0,0,0,5.733667477,12.59712014,6.544756406,35.39237126,0,0,5.733667477,13.17124514,0,0,6.544756406,12.59712014,0,11.12690298,24.26546827,0,0,0,26.02,11.73975001,13.17124514,0,0,18.52902952,12.13273414,6.066367068,6.066367068,0,0,5.733667477,36.53073696,0,0,0,5.248397109,0,5.224993859,-3.783205782,0.362411187,0,0.333333333,13,2,1,0,0,0,1,0,1,1,1,4,2,0,0,0,1,2.2066,44.2024,-2.294743946
5,206.4418973,-0.225600981,-0.045906246,0.179694735,1.187724947,5.38154006,5.38154006,0.57042517,0.57042517,0.694556777,10.75,162.196,152.116,162.0905463,62,0,0.112724671,-0.328577317,0.328577317,0.112724671,1.166666667,1.75,2.25,15.46401202,10.31130071,1.979584849,-1.908716184,2.056383518,-2.114990066,5.724090478,0.55311978,2.465483623,2.474322815,346.1932379,8.388905057,6.642605695,6.642605695,5.898178148,3.899039921,3.899039921,2.573281699,2.573281699,1.657165418,1.657165418,1.119838357,1.119838357,-1.42,1008.382802,7.241017,2.905394955,1.163951698,69.97817758,5.733667477,11.03340144,0,0,0,0,0,0,14.99386984,0,12.13273414,12.13273414,6.544756406,6.544756406,0,11.03340144,0,14.99386984,5.733667477,6.544756406,6.544756406,24.26546827,0,0,5.733667477,0,0,0,21.53862625,6.544756406,0,0,24.26546827,0,11.03340144,0,56.73,0,0,0,0,13.08951281,11.03340144,0,4.796506222,24.26546827,10.19736362,5.733667477,0,0,1.62962963,8.456018519,7.225891912,0,7.776090325,0,1.245702948,0,0.25,12,2,4,0,0,0,1,1,2,4,1,4,2,0,0,0,2,0.39,46.5824,-2.138721188
6,236.1908668,-0.242635154,-0.060486426,0.182148728,5.548520147,12.41345506,12.41345506,0.32337526,-4.330943602,0.811477545,12,226.201,217.129,226.0717829,84,0,0.415987589,-0.326448839,0.415987589,0.326448839,1.1875,1.9375,2.5625,19.41317158,10.09788833,2.29947901,-2.072292982,2.304287145,-2.044228158,5.793273901,-0.137044451,2.260674915,2.560252548,520.1088689,11.75914855,8.252315411,8.252315411,7.503349863,4.664613354,4.664613354,3.452929543,3.452929543,2.303821179,2.303821179,1.454946341,1.454946341,-1.62,4075.996872,10.8832459,3.751529701,1.990583439,89.89909677,5.733667477,0,0,0,0,6.176298517,4.983978521,0,13.17124514,0,6.066367068,23.7625527,18.12782419,11.08015221,13.17124514,10.90292493,0,4.983978521,5.733667477,12.72105492,0,41.58921483,0,0,5.733667477,13.17124514,0,0,4.983978521,12.72105492,0,11.12690298,30.46231185,0,10.90292493,0,38.91,11.73975001,13.17124514,0,0,17.44768134,17.69618563,12.26321064,6.066367068,0,4.983978521,5.733667477,37.24036517,0,3.946157407,0.662916667,5.857302847,0,5.228913927,-2.842364615,0.32337526,0,0.181818182,16,2,2,0,0,0,1,1,2,2,1,5,1,0,0,0,2,2.7123,54.6364,-2.237781361
7,238.7257144,-0.241941134,-0.060382792,0.181558342,3.974927337,12.45311736,12.45311736,0.26308083,-4.326478765,0.811477545,12,226.201,217.129,226.0717829,84,0,0.415933473,-0.326448839,0.415933473,0.326448839,1.1875,1.9375,2.5625,19.41317151,10.09319398,2.298601334,-2.073923168,2.305671334,-2.043706839,5.794014517,-0.137035241,2.260159154,2.593696184,520.1088689,11.75914855,8.252315411,8.252315411,7.503349863,4.664613354,4.664613354,3.452929543,3.452929543,2.300915345,2.300915345,1.465110557,1.465110557,-1.62,4072.806796,10.8832459,3.751529701,1.990583439,89.89909677,5.733667477,0,0,0,0,6.176298517,4.983978521,0,13.17124514,0,0,29.82891977,18.12782419,11.08015221,13.17124514,10.90292493,0,4.983978521,5.733667477,12.72105492,0,41.58921483,0,0,5.733667477,13.17124514,0,0,4.983978521,12.72105492,0,11.12690298,30.46231185,0,10.90292493,0,38.91,11.73975001,13.17124514,0,6.544756406,16.46637642,12.13273414,6.066367068,12.26321064,0,4.983978521,5.733667477,37.35935209,0,4.027812736,0.456273148,5.979317012,0,5.092234977,-2.761404124,0.26308083,0,0.181818182,16,2,2,0,0,0,1,1,2,2,1,5,1,0,0,0,2,2.7123,54.6364,-2.249200948
8,261.3787108,-0.234708973,-0.059156918,0.175552055,4.543306708,12.5848256,12.5848256,0.268867867,-4.333978765,0.831672147,12.05882353,240.228,229.14,240.087433,90,0,0.415933642,-0.326440446,0.415933642,0.326440446,1.294117647,2,2.588235294,19.41317227,10.02618739,2.301496488,-2.103306044,2.317549374,-2.055723146,5.831884809,-0.13703523,2.279330625,2.705819026,561.414676,12.62939203,9.174965142,9.174965142,7.930870218,5.087263084,5.087263084,3.842248759,3.842248759,2.78894351,2.78894351,1.748366206,1.748366206,-1.62,6122.282057,11.85349205,3.996574172,2.102066672,96.26403888,5.733667477,0,0,0,0,6.176298517,4.983978521,0,13.17124514,0,0,36.24974139,18.12782419,11.08015221,13.17124514,10.90292493,0,4.983978521,5.733667477,19.64479212,0,41.08629925,0,0,5.733667477,13.17124514,0,0,4.983978521,12.72105492,6.9237372,16.69035448,24.39594478,0,10.90292493,0,38.91,11.73975001,13.17124514,0,6.544756406,10.90292493,23.25963712,6.066367068,13.12058077,0,4.983978521,5.733667477,37.7544768,0,4.08864607,0.502569444,6.903483678,0,3.540846088,-2.731867087,2.025178335,0,0.25,17,2,2,0,0,0,1,1,2,2,1,5,1,0,0,0,2,3.02072,59.3734,-2.150247851
9,255.6288478,-0.205064111,-0.01365427,0.191409841,6.690619274,12.55425984,12.55425984,0.080270967,-4.280780856,0.753357124,19.88235294,240.228,229.14,240.087433,90,0,0.41593346,-0.342969727,0.41593346,0.342969727,1.235294118,2,2.705882353,19.4131727,10.11525663,2.308675,-2.073699934,2.331522213,-2.202520111,5.82302329,-0.137035496,2.707647602,2.153587027,583.1836458,12.2067423,8.959422192,8.959422192,7.948508308,5.399155517,5.399155517,4.481838175,4.481838175,3.202874156,3.202874156,2.456804456,2.456804456,-1.49,9574.241921,10.65060628,3.258244538,1.613941926,95.82263377,10.30076712,0,0,0,0,6.176298517,0,0,13.17124514,0,0,24.26546827,35.60427178,5.563451492,13.17124514,10.90292493,0,4.567099648,5.733667477,25.18371738,0,35.52284776,0,0,5.733667477,13.17124514,0,0,10.60894048,19.14187655,0,11.25737949,24.26546827,0,10.90292493,0,30.95,11.73975001,13.17124514,0,6.041840829,11.93098062,23.6978174,12.13273414,6.066367068,4.567099648,0,5.733667477,39.66293257,0,0,0.640486111,7.074677186,0,5.735791092,-3.548607056,0.684720096,0,0.333333333,17,2,2,0,1,1,1,1,2,2,1,5,0,0,0,0,3,2.5435,58.6194,-2.546527765
10,314.1140923,-0.217566129,-0.043761591,0.173804538,5.335545419,12.62237711,12.62237711,0.18364229,-4.302191673,0.870791643,12.94736842,267.294,251.166,267.1234842,102,0,0.415931586,-0.329606627,0.415931586,0.329606627,0.894736842,1.368421053,1.842105263,19.41317339,9.835606942,2.300097292,-2.230991096,2.324307008,-2.274292108,5.838076193,-0.137034526,2.36022727,2.526368106,599.852443,14.25914855,10.88245208,10.88245208,8.737330098,6.054816134,6.054816134,5.362475697,5.362475697,3.459353594,3.459353594,1.96087889,1.96087889,-1.55,13814.41021,13.87185354,4.527435497,2.733185559,109.7742751,5.733667477,0,0,0,0,6.176298517,0,0,13.17124514,0,38.11294267,28.46863406,11.95974688,5.563451492,13.17124514,10.77244843,0,0,5.733667477,25.43876339,6.544756406,47.52510539,0,0,5.733667477,13.17124514,0,0,6.544756406,11.59128899,0,24.97437738,36.39820241,0,10.77244843,0,26.02,11.73975001,13.17124514,0,5.414990469,11.93098062,17.01604277,12.13273414,6.066367068,25.98020854,0,5.733667477,37.86713132,0,0,1.387427249,5.941457351,0,9.263277589,-4.302191673,4.509564831,0,0.333333333,19,2,1,0,0,0,2,0,2,1,1,4,2,0,0,0,2,4.0949,71.0304,-2.132781096
